id,localidad,f_retiro,N_semana,mes,anio,afidos
180,Mococha,27/09/2018,39,septiembre,2018,1
181,Mococha,28/09/2018,39,septiembre,2018,0
182,Mococha,01/10/2018,40,octubre,2018,1
183,Mococha,02/10/2018,40,octubre,2018,3
184,Mococha,03/10/2018,40,octubre,2018,0
185,Mococha,04/10/2018,40,octubre,2018,1
186,Mococha,05/10/2018,40,octubre,2018,0
187,Mococha,08/10/2018,41,octubre,2018,1
188,Mococha,09/10/2018,41,octubre,2018,1
189,Mococha,10/10/2018,41,octubre,2018,1
190,Mococha,11/10/2018,41,octubre,2018,0
191,Mococha,12/10/2018,41,octubre,2018,4
192,Mococha,15/10/2018,42,octubre,2018,1
193,Mococha,16/10/2018,42,octubre,2018,1
194,Mococha,17/10/2018,42,octubre,2018,0
195,Mococha,18/10/2018,42,octubre,2018,0
196,Mococha,19/10/2018,42,octubre,2018,0
197,Mococha,22/10/2018,43,octubre,2018,0
198,Mococha,23/10/2018,43,octubre,2018,1
199,Mococha,24/10/2018,43,octubre,2018,0
200,Mococha,25/10/2018,43,octubre,2018,0
201,Mococha,26/10/2018,43,octubre,2018,0
202,Mococha,29/10/2018,44,octubre,2018,0
203,Mococha,30/10/2018,44,octubre,2018,1
204,Mococha,31/10/2018,44,octubre,2018,0
205,Mococha,01/11/2018,44,noviembre,2018,1
206,Mococha,05/11/2018,45,noviembre,2018,0
207,Mococha,06/11/2018,45,noviembre,2018,0
208,Mococha,07/11/2018,45,noviembre,2018,1
209,Mococha,08/11/2018,45,noviembre,2018,1
210,Mococha,09/11/2018,45,noviembre,2018,0
211,Mococha,12/11/2018,46,noviembre,2018,0
212,Mococha,13/11/2018,46,noviembre,2018,0
213,Mococha,14/11/2018,46,noviembre,2018,0
214,Mococha,15/11/2018,46,noviembre,2018,0
215,Mococha,16/11/2018,46,noviembre,2018,0
216,Mococha,20/11/2018,47,noviembre,2018,0
217,Mococha,21/11/2018,47,noviembre,2018,0
218,Mococha,22/11/2018,47,noviembre,2018,0
219,Mococha,23/11/2018,47,noviembre,2018,1
220,Mococha,26/11/2018,48,noviembre,2018,5
221,Mococha,27/11/2018,48,noviembre,2018,0
222,Mococha,28/11/2018,48,noviembre,2018,0
223,Mococha,29/11/2018,48,noviembre,2018,1
224,Mococha,30/11/2018,48,noviembre,2018,1
225,Mococha,04/12/2018,49,diciembre,2018,1
226,Mococha,05/12/2018,49,diciembre,2018,0
227,Mococha,06/12/2018,49,diciembre,2018,3
228,Mococha,10/12/2018,50,diciembre,2018,0
229,Mococha,11/12/2018,50,diciembre,2018,1
230,Mococha,12/12/2018,50,diciembre,2018,3
231,Mococha,13/12/2018,50,diciembre,2018,0
232,Mococha,14/12/2018,50,diciembre,2018,2
233,Mococha,17/12/2018,51,diciembre,2018,1
234,Mococha,18/12/2018,51,diciembre,2018,0
235,Mococha,19/12/2018,51,diciembre,2018,4
236,Mococha,20/12/2018,51,diciembre,2018,0
237,Mococha,21/12/2018,51,diciembre,2018,0
238,Mococha,24/12/2018,52,diciembre,2018,0
239,Mococha,26/12/2018,52,diciembre,2018,2
240,Mococha,27/12/2018,52,diciembre,2018,0
241,Mococha,28/12/2018,52,diciembre,2018,2
242,Mococha,31/12/2018,53,diciembre,2018,2
243,Mococha,02/01/2019,1,enero,2019,2
244,Mococha,03/01/2019,1,enero,2019,0
245,Mococha,04/01/2019,1,enero,2019,2
246,Mococha,07/01/2019,2,enero,2019,0
247,Mococha,08/01/2019,2,enero,2019,0
248,Mococha,09/01/2019,2,enero,2019,1
249,Mococha,10/01/2019,2,enero,2019,0
250,Mococha,11/01/2019,2,enero,2019,0
251,Mococha,14/01/2019,3,enero,2019,1
252,Mococha,15/01/2019,3,enero,2019,1
253,Mococha,16/01/2019,3,enero,2019,2
254,Mococha,18/01/2019,3,enero,2019,2
255,Mococha,21/01/2019,4,enero,2019,2
256,Mococha,22/01/2019,4,enero,2019,2
257,Mococha,23/01/2019,4,enero,2019,0
258,Mococha,24/01/2019,4,enero,2019,1
259,Mococha,25/01/2019,4,enero,2019,1
260,Mococha,28/01/2019,5,enero,2019,0
261,Mococha,29/01/2019,5,enero,2019,0
262,Mococha,30/01/2019,5,enero,2019,0
263,Mococha,31/01/2019,5,enero,2019,2
264,Mococha,01/02/2019,5,febrero,2019,0
265,Mococha,05/02/2019,6,febrero,2019,0
266,Mococha,06/02/2019,6,febrero,2019,0
267,Mococha,07/02/2019,6,febrero,2019,0
268,Mococha,08/02/2019,6,febrero,2019,0
269,Mococha,11/02/2019,7,febrero,2019,0
270,Mococha,12/02/2019,7,febrero,2019,0
271,Mococha,14/02/2019,7,febrero,2019,0
272,Mococha,15/02/2019,7,febrero,2019,0
273,Mococha,18/02/2019,8,febrero,2019,0
274,Mococha,19/02/2019,8,febrero,2019,0
275,Mococha,20/02/2019,8,febrero,2019,0
276,Mococha,21/02/2019,8,febrero,2019,0
277,Mococha,22/02/2019,8,febrero,2019,0
278,Mococha,25/02/2019,9,febrero,2019,0
279,Mococha,26/02/2019,9,febrero,2019,0
280,Mococha,27/02/2019,9,febrero,2019,0
281,Mococha,28/02/2019,9,febrero,2019,0
282,Mococha,01/03/2019,9,marzo,2019,0
283,Mococha,04/03/2019,10,marzo,2019,0
284,Mococha,05/03/2019,10,marzo,2019,0
285,Mococha,06/03/2019,10,marzo,2019,0
286,Mococha,07/03/2019,10,marzo,2019,2
287,Mococha,08/03/2019,10,marzo,2019,0
288,Mococha,11/03/2019,11,marzo,2019,0
289,Mococha,12/03/2019,11,marzo,2019,0
290,Mococha,13/03/2019,11,marzo,2019,0
291,Mococha,14/03/2019,11,marzo,2019,0
292,Mococha,15/03/2019,11,marzo,2019,0
293,Mococha,19/03/2019,12,marzo,2019,0
294,Mococha,20/03/2019,12,marzo,2019,0
295,Mococha,08/05/2019,19,mayo,2019,0
296,Mococha,09/05/2019,19,mayo,2019,0
297,Mococha,10/05/2019,19,mayo,2019,0
298,Mococha,13/05/2019,20,mayo,2019,0
299,Mococha,14/05/2019,20,mayo,2019,0
300,Mococha,15/05/2019,20,mayo,2019,0
301,Mococha,16/05/2019,20,mayo,2019,0
302,Mococha,17/05/2019,20,mayo,2019,0
303,Mococha,20/05/2019,21,mayo,2019,0
304,Mococha,21/05/2019,21,mayo,2019,0
305,Mococha,22/05/2019,21,mayo,2019,0
306,Mococha,23/05/2019,21,mayo,2019,0
307,Mococha,24/05/2019,21,mayo,2019,0
308,Mococha,27/05/2019,22,mayo,2019,0
309,Mococha,28/05/2019,22,mayo,2019,0
310,Mococha,29/05/2019,22,mayo,2019,0
311,Mococha,30/05/2019,22,mayo,2019,0
312,Mococha,31/05/2019,22,mayo,2019,0
313,Mococha,03/06/2019,23,junio,2019,0
314,Mococha,04/06/2019,23,junio,2019,0
315,Mococha,05/06/2019,23,junio,2019,0
316,Mococha,06/06/2019,23,junio,2019,0
317,Mococha,07/06/2019,23,junio,2019,0
318,Mococha,10/06/2019,24,junio,2019,0
319,Mococha,11/06/2019,24,junio,2019,0
320,Mococha,12/06/2019,24,junio,2019,0
321,Mococha,13/06/2019,24,junio,2019,0
322,Mococha,14/06/2019,24,junio,2019,0
323,Mococha,17/06/2019,25,junio,2019,0
324,Mococha,18/06/2019,25,junio,2019,0
325,Mococha,19/06/2019,25,junio,2019,0
326,Mococha,20/06/2019,25,junio,2019,0
327,Mococha,21/06/2019,25,junio,2019,0
328,Mococha,24/06/2019,26,junio,2019,0
329,Mococha,25/06/2019,26,junio,2019,0
330,Mococha,26/06/2019,26,junio,2019,0
331,Mococha,27/06/2019,26,junio,2019,0
332,Mococha,28/06/2019,26,junio,2019,0
333,Mococha,01/07/2019,27,julio,2019,0
334,Mococha,02/07/2019,27,julio,2019,0
335,Mococha,03/07/2019,27,julio,2019,0
336,Mococha,04/07/2019,27,julio,2019,0
337,Mococha,05/07/2019,27,julio,2019,1
338,Mococha,08/07/2019,28,julio,2019,0
339,Mococha,09/07/2019,28,julio,2019,0
340,Mococha,10/07/2019,28,julio,2019,0
341,Mococha,11/07/2019,28,julio,2019,0
342,Mococha,12/07/2019,28,julio,2019,0
343,Mococha,15/07/2019,29,julio,2019,0
344,Mococha,16/07/2019,29,julio,2019,1
345,Mococha,17/07/2019,29,julio,2019,0
346,Mococha,18/07/2019,29,julio,2019,0
347,Mococha,19/07/2019,29,julio,2019,0
348,Mococha,22/07/2019,30,julio,2019,0
349,Mococha,23/07/2019,30,julio,2019,0
350,Mococha,24/07/2019,30,julio,2019,0
351,Mococha,25/07/2019,30,julio,2019,0
352,Mococha,26/07/2019,30,julio,2019,0
353,Mococha,29/07/2019,31,julio,2019,0
354,Mococha,30/07/2019,31,julio,2019,0
355,Mococha,31/07/2019,31,julio,2019,0
356,Mococha,01/08/2019,31,agosto,2019,0
357,Mococha,02/08/2019,31,agosto,2019,0
358,Mococha,05/08/2019,32,agosto,2019,0
359,Mococha,06/08/2019,32,agosto,2019,0
360,Mococha,07/08/2019,32,agosto,2019,0
361,Mococha,08/08/2019,32,agosto,2019,0
362,Mococha,09/08/2019,32,agosto,2019,0
363,Mococha,12/08/2019,33,agosto,2019,3
364,Mococha,13/08/2019,33,agosto,2019,1
365,Mococha,14/08/2019,33,agosto,2019,0
366,Mococha,15/08/2019,33,agosto,2019,0
367,Mococha,16/08/2019,33,agosto,2019,0
368,Mococha,19/08/2019,34,agosto,2019,0
369,Mococha,20/08/2019,34,agosto,2019,0
370,Mococha,21/08/2019,34,agosto,2019,0
371,Mococha,22/08/2019,34,agosto,2019,0
372,Mococha,23/08/2019,34,agosto,2019,0
373,Mococha,26/08/2019,35,agosto,2019,1
374,Mococha,27/08/2019,35,agosto,2019,0
375,Mococha,28/08/2019,35,agosto,2019,0
376,Mococha,29/08/2019,35,agosto,2019,0
377,Mococha,30/08/2019,35,agosto,2019,0
378,Mococha,02/09/2019,36,septiembre,2019,0
379,Mococha,03/09/2019,36,septiembre,2019,1
380,Mococha,03/09/2019,36,septiembre,2019,1
381,Mococha,04/09/2019,36,septiembre,2019,6
382,Mococha,04/09/2019,36,septiembre,2019,1
383,Mococha,05/09/2019,36,septiembre,2019,1
384,Mococha,05/09/2019,36,septiembre,2019,1
385,Mococha,06/09/2019,36,septiembre,2019,0
386,Mococha,06/09/2019,36,septiembre,2019,0
387,Mococha,09/09/2019,37,septiembre,2019,1
388,Mococha,10/09/2019,37,septiembre,2019,0
389,Mococha,10/09/2019,37,septiembre,2019,0
390,Mococha,11/09/2019,37,septiembre,2019,0
391,Mococha,11/09/2019,37,septiembre,2019,0
392,Mococha,12/09/2019,37,septiembre,2019,0
393,Mococha,12/09/2019,37,septiembre,2019,0
394,Mococha,13/09/2019,37,septiembre,2019,0
395,Mococha,13/09/2019,37,septiembre,2019,1
396,Mococha,17/09/2019,38,septiembre,2019,0
397,Mococha,18/09/2019,38,septiembre,2019,0
398,Mococha,18/09/2019,38,septiembre,2019,1
399,Mococha,19/09/2019,38,septiembre,2019,0
400,Mococha,19/09/2019,38,septiembre,2019,1
401,Mococha,20/09/2019,38,septiembre,2019,0
402,Mococha,20/09/2019,38,septiembre,2019,1
403,Mococha,23/09/2019,39,septiembre,2019,0
404,Mococha,24/09/2019,39,septiembre,2019,1
405,Mococha,24/09/2019,39,septiembre,2019,0
406,Mococha,25/09/2019,39,septiembre,2019,0
407,Mococha,25/09/2019,39,septiembre,2019,4
408,Mococha,26/09/2019,39,septiembre,2019,2
409,Mococha,26/09/2019,39,septiembre,2019,3
410,Mococha,27/09/2019,39,septiembre,2019,0
411,Mococha,30/09/2019,40,septiembre,2019,6
412,Mococha,01/10/2019,40,octubre,2019,0
413,Mococha,01/10/2019,40,octubre,2019,1
