"","fecha","tipo","total","Fecha"
"05-202012","05-2020","Hostigamiento",108465,may. 2020
"06-202012","06-2020","Hostigamiento",119397,jun. 2020
"07-202012","07-2020","Hostigamiento",106851,jul. 2020
"08-202012","08-2020","Hostigamiento",126352,ago. 2020
"09-202012","09-2020","Hostigamiento",118302,sep. 2020
"10-202012","10-2020","Hostigamiento",139874,oct. 2020
"11-202012","11-2020","Hostigamiento",201424,nov. 2020
"12-202012","12-2020","Hostigamiento",179696,dic. 2020
"01-202013","01-2020","Violación",4552,ene. 2020
"02-202013","02-2020","Violación",6150,feb. 2020
"03-202013","03-2020","Violación",8689,mar. 2020
"04-202013","04-2020","Violación",1874,abr. 2020
"05-202013","05-2020","Violación",8676,may. 2020
"06-202013","06-2020","Violación",6000,jun. 2020
"07-202013","07-2020","Violación",10423,jul. 2020
"08-202013","08-2020","Violación",2647,ago. 2020
"09-202013","09-2020","Violación",1579,sep. 2020
"10-202013","10-2020","Violación",4166,oct. 2020
"11-202013","11-2020","Violación",7481,nov. 2020
"12-202013","12-2020","Violación",13597,dic. 2020
"01-202014","01-2020","Otros",6693,ene. 2020
"02-202014","02-2020","Otros",2402,feb. 2020
"03-202014","03-2020","Otros",5966,mar. 2020
"04-202014","04-2020","Otros",3927,abr. 2020
"05-202014","05-2020","Otros",3203,may. 2020
"06-202014","06-2020","Otros",7007,jun. 2020
"07-202014","07-2020","Otros",2788,jul. 2020
"08-202014","08-2020","Otros",9954,ago. 2020
"09-202014","09-2020","Otros",8427,sep. 2020
"10-202014","10-2020","Otros",3924,oct. 2020
"11-202014","11-2020","Otros",16185,nov. 2020
"12-202014","12-2020","Otros",17045,dic. 2020
"01-2021","01-2021","Robo total de vehículo",46703,ene. 2021
"02-2021","02-2021","Robo total de vehículo",58160,feb. 2021
"03-2021","03-2021","Robo total de vehículo",59668,mar. 2021
"04-2021","04-2021","Robo total de vehículo",30157,abr. 2021
"05-2021","05-2021","Robo total de vehículo",26311,may. 2021
"06-2021","06-2021","Robo total de vehículo",44051,jun. 2021
"07-2021","07-2021","Robo total de vehículo",26460,jul. 2021
"08-2021","08-2021","Robo total de vehículo",34105,ago. 2021
"09-2021","09-2021","Robo total de vehículo",36186,sep. 2021
"10-2021","10-2021","Robo total de vehículo",36628,oct. 2021
"11-2021","11-2021","Robo total de vehículo",34051,nov. 2021
"12-2021","12-2021","Robo total de vehículo",33497,dic. 2021
"01-20211","01-2021","Robo parcial de vehículo",186990,ene. 2021
"02-20211","02-2021","Robo parcial de vehículo",287841,feb. 2021
"03-20211","03-2021","Robo parcial de vehículo",244348,mar. 2021
"04-20211","04-2021","Robo parcial de vehículo",158798,abr. 2021
"05-20211","05-2021","Robo parcial de vehículo",192831,may. 2021
"06-20211","06-2021","Robo parcial de vehículo",249984,jun. 2021
"07-20211","07-2021","Robo parcial de vehículo",157759,jul. 2021
"08-20211","08-2021","Robo parcial de vehículo",167977,ago. 2021
"09-20211","09-2021","Robo parcial de vehículo",157023,sep. 2021
"10-20211","10-2021","Robo parcial de vehículo",170632,oct. 2021
"11-20211","11-2021","Robo parcial de vehículo",226221,nov. 2021
"12-20211","12-2021","Robo parcial de vehículo",200150,dic. 2021
"01-20212","01-2021","Vandalismo",156681,ene. 2021
"02-20212","02-2021","Vandalismo",204700,feb. 2021
"03-20212","03-2021","Vandalismo",169719,mar. 2021
"04-20212","04-2021","Vandalismo",114148,abr. 2021
"05-20212","05-2021","Vandalismo",156633,may. 2021
"06-20212","06-2021","Vandalismo",187934,jun. 2021
"07-20212","07-2021","Vandalismo",120393,jul. 2021
"08-20212","08-2021","Vandalismo",93468,ago. 2021
"09-20212","09-2021","Vandalismo",135254,sep. 2021
"10-20212","10-2021","Vandalismo",107103,oct. 2021
"11-20212","11-2021","Vandalismo",157823,nov. 2021
"12-20212","12-2021","Vandalismo",149257,dic. 2021
"01-20213","01-2021","Robo en casa",144633,ene. 2021
"02-20213","02-2021","Robo en casa",152261,feb. 2021
"03-20213","03-2021","Robo en casa",151466,mar. 2021
"04-20213","04-2021","Robo en casa",108995,abr. 2021
"05-20213","05-2021","Robo en casa",104865,may. 2021
"06-20213","06-2021","Robo en casa",145572,jun. 2021
"07-20213","07-2021","Robo en casa",104088,jul. 2021
"08-20213","08-2021","Robo en casa",126181,ago. 2021
"09-20213","09-2021","Robo en casa",119474,sep. 2021
"10-20213","10-2021","Robo en casa",134677,oct. 2021
"11-20213","11-2021","Robo en casa",180459,nov. 2021
"12-20213","12-2021","Robo en casa",193705,dic. 2021
"01-20214","01-2021","Robo en la calle",480547,ene. 2021
"02-20214","02-2021","Robo en la calle",641287,feb. 2021
"03-20214","03-2021","Robo en la calle",482574,mar. 2021
"04-20214","04-2021","Robo en la calle",450715,abr. 2021
"05-20214","05-2021","Robo en la calle",464673,may. 2021
"06-20214","06-2021","Robo en la calle",472111,jun. 2021
"07-20214","07-2021","Robo en la calle",362397,jul. 2021
"08-20214","08-2021","Robo en la calle",415113,ago. 2021
"09-20214","09-2021","Robo en la calle",402960,sep. 2021
"10-20214","10-2021","Robo en la calle",514570,oct. 2021
"11-20214","11-2021","Robo en la calle",716563,nov. 2021
"12-20214","12-2021","Robo en la calle",738608,dic. 2021
"01-20215","01-2021","Otro tipo de robo",94532,ene. 2021
"02-20215","02-2021","Otro tipo de robo",145448,feb. 2021
"03-20215","03-2021","Otro tipo de robo",131837,mar. 2021
"04-20215","04-2021","Otro tipo de robo",74880,abr. 2021
"05-20215","05-2021","Otro tipo de robo",101455,may. 2021
"06-20215","06-2021","Otro tipo de robo",142317,jun. 2021
"07-20215","07-2021","Otro tipo de robo",104235,jul. 2021
"08-20215","08-2021","Otro tipo de robo",70359,ago. 2021
"09-20215","09-2021","Otro tipo de robo",80549,sep. 2021
"10-20215","10-2021","Otro tipo de robo",113066,oct. 2021
"11-20215","11-2021","Otro tipo de robo",134372,nov. 2021
"12-20215","12-2021","Otro tipo de robo",187715,dic. 2021
"01-20216","01-2021","Fraude bancario",185587,ene. 2021
"02-20216","02-2021","Fraude bancario",295463,feb. 2021
"03-20216","03-2021","Fraude bancario",293599,mar. 2021
"04-20216","04-2021","Fraude bancario",216582,abr. 2021
"05-20216","05-2021","Fraude bancario",270239,may. 2021
"06-20216","06-2021","Fraude bancario",263240,jun. 2021
"07-20216","07-2021","Fraude bancario",224168,jul. 2021
"08-20216","08-2021","Fraude bancario",186198,ago. 2021
"09-20216","09-2021","Fraude bancario",220900,sep. 2021
"10-20216","10-2021","Fraude bancario",290845,oct. 2021
"11-20216","11-2021","Fraude bancario",333063,nov. 2021
"12-20216","12-2021","Fraude bancario",365298,dic. 2021
"01-20217","01-2021","Fraude al consumidor",137187,ene. 2021
"02-20217","02-2021","Fraude al consumidor",197317,feb. 2021
"03-20217","03-2021","Fraude al consumidor",157185,mar. 2021
"04-20217","04-2021","Fraude al consumidor",137298,abr. 2021
"05-20217","05-2021","Fraude al consumidor",177561,may. 2021
"06-20217","06-2021","Fraude al consumidor",160970,jun. 2021
"07-20217","07-2021","Fraude al consumidor",128279,jul. 2021
"08-20217","08-2021","Fraude al consumidor",137863,ago. 2021
"09-20217","09-2021","Fraude al consumidor",149124,sep. 2021
"10-20217","10-2021","Fraude al consumidor",201428,oct. 2021
"11-20217","11-2021","Fraude al consumidor",227561,nov. 2021
"12-20217","12-2021","Fraude al consumidor",287460,dic. 2021
"01-20218","01-2021","Extorsión",289366,ene. 2021
"02-20218","02-2021","Extorsión",396052,feb. 2021
"03-20218","03-2021","Extorsión",391744,mar. 2021
"04-20218","04-2021","Extorsión",260237,abr. 2021
"05-20218","05-2021","Extorsión",358404,may. 2021
"06-20218","06-2021","Extorsión",537107,jun. 2021
"07-20218","07-2021","Extorsión",308939,jul. 2021
"08-20218","08-2021","Extorsión",343773,ago. 2021
"09-20218","09-2021","Extorsión",338646,sep. 2021
"10-20218","10-2021","Extorsión",340940,oct. 2021
"11-20218","11-2021","Extorsión",470383,nov. 2021
"12-20218","12-2021","Extorsión",511568,dic. 2021
"01-20219","01-2021","Amenazas verbales",204633,ene. 2021
"02-20219","02-2021","Amenazas verbales",204472,feb. 2021
"03-20219","03-2021","Amenazas verbales",210627,mar. 2021
"04-20219","04-2021","Amenazas verbales",167242,abr. 2021
"05-20219","05-2021","Amenazas verbales",167833,may. 2021
"06-20219","06-2021","Amenazas verbales",205747,jun. 2021
"07-20219","07-2021","Amenazas verbales",180474,jul. 2021
"08-20219","08-2021","Amenazas verbales",163842,ago. 2021
"09-20219","09-2021","Amenazas verbales",216640,sep. 2021
"10-20219","10-2021","Amenazas verbales",215421,oct. 2021
"11-20219","11-2021","Amenazas verbales",298170,nov. 2021
"12-20219","12-2021","Amenazas verbales",397361,dic. 2021
"01-202110","01-2021","Lesiones físicas",52663,ene. 2021
"02-202110","02-2021","Lesiones físicas",66891,feb. 2021
"03-202110","03-2021","Lesiones físicas",56780,mar. 2021
"04-202110","04-2021","Lesiones físicas",48846,abr. 2021
"05-202110","05-2021","Lesiones físicas",69863,may. 2021
"06-202110","06-2021","Lesiones físicas",71412,jun. 2021
"07-202110","07-2021","Lesiones físicas",48712,jul. 2021
"08-202110","08-2021","Lesiones físicas",83745,ago. 2021
"09-202110","09-2021","Lesiones físicas",54618,sep. 2021
"10-202110","10-2021","Lesiones físicas",83284,oct. 2021
"11-202110","11-2021","Lesiones físicas",130505,nov. 2021
"12-202110","12-2021","Lesiones físicas",153018,dic. 2021
"01-202111","01-2021","Secuestro",3559,ene. 2021
"02-202111","02-2021","Secuestro",3911,feb. 2021
"03-202111","03-2021","Secuestro",4812,mar. 2021
"04-202111","04-2021","Secuestro",2486,abr. 2021
"05-202111","05-2021","Secuestro",3616,may. 2021
"06-202111","06-2021","Secuestro",7973,jun. 2021
"07-202111","07-2021","Secuestro",5321,jul. 2021
"08-202111","08-2021","Secuestro",2547,ago. 2021
"09-202111","09-2021","Secuestro",2602,sep. 2021
"10-202111","10-2021","Secuestro",4567,oct. 2021
"11-202111","11-2021","Secuestro",3366,nov. 2021
"12-202111","12-2021","Secuestro",9680,dic. 2021
"01-202112","01-2021","Hostigamiento",149178,ene. 2021
"02-202112","02-2021","Hostigamiento",218100,feb. 2021
"03-202112","03-2021","Hostigamiento",175010,mar. 2021
"04-202112","04-2021","Hostigamiento",70172,abr. 2021
"05-202112","05-2021","Hostigamiento",63112,may. 2021
"06-202112","06-2021","Hostigamiento",109086,jun. 2021
"07-202112","07-2021","Hostigamiento",76953,jul. 2021
"08-202112","08-2021","Hostigamiento",104169,ago. 2021
"09-202112","09-2021","Hostigamiento",101994,sep. 2021
"10-202112","10-2021","Hostigamiento",119707,oct. 2021
"11-202112","11-2021","Hostigamiento",158398,nov. 2021
"12-202112","12-2021","Hostigamiento",168090,dic. 2021
"01-202113","01-2021","Violación",4451,ene. 2021
"02-202113","02-2021","Violación",5073,feb. 2021
"03-202113","03-2021","Violación",6683,mar. 2021
"04-202113","04-2021","Violación",5877,abr. 2021
"05-202113","05-2021","Violación",12307,may. 2021
"06-202113","06-2021","Violación",3379,jun. 2021
"07-202113","07-2021","Violación",4225,jul. 2021
"08-202113","08-2021","Violación",6763,ago. 2021
"09-202113","09-2021","Violación",8366,sep. 2021
"10-202113","10-2021","Violación",4859,oct. 2021
"11-202113","11-2021","Violación",8994,nov. 2021
"12-202113","12-2021","Violación",5963,dic. 2021
"01-202114","01-2021","Otros",18658,ene. 2021
"02-202114","02-2021","Otros",7008,feb. 2021
"03-202114","03-2021","Otros",10414,mar. 2021
"04-202114","04-2021","Otros",5089,abr. 2021
"05-202114","05-2021","Otros",10571,may. 2021
"06-202114","06-2021","Otros",7962,jun. 2021
"07-202114","07-2021","Otros",3849,jul. 2021
"08-202114","08-2021","Otros",6466,ago. 2021
"09-202114","09-2021","Otros",5497,sep. 2021
"10-202114","10-2021","Otros",10298,oct. 2021
"11-202114","11-2021","Otros",12234,nov. 2021
"12-202114","12-2021","Otros",17527,dic. 2021
