"","fecha","tipo","total","Fecha"
"02-20165","02-2016","Otro tipo de robo",63677,feb. 2016
"03-20165","03-2016","Otro tipo de robo",79985,mar. 2016
"04-20165","04-2016","Otro tipo de robo",56200,abr. 2016
"05-20165","05-2016","Otro tipo de robo",58294,may. 2016
"06-20165","06-2016","Otro tipo de robo",96596,jun. 2016
"07-20165","07-2016","Otro tipo de robo",58715,jul. 2016
"08-20165","08-2016","Otro tipo de robo",62841,ago. 2016
"09-20165","09-2016","Otro tipo de robo",68964,sep. 2016
"10-20165","10-2016","Otro tipo de robo",78082,oct. 2016
"11-20165","11-2016","Otro tipo de robo",121119,nov. 2016
"12-20165","12-2016","Otro tipo de robo",117241,dic. 2016
"01-20166","01-2016","Fraude bancario",101256,ene. 2016
"02-20166","02-2016","Fraude bancario",107433,feb. 2016
"03-20166","03-2016","Fraude bancario",122653,mar. 2016
"04-20166","04-2016","Fraude bancario",89815,abr. 2016
"05-20166","05-2016","Fraude bancario",103791,may. 2016
"06-20166","06-2016","Fraude bancario",139227,jun. 2016
"07-20166","07-2016","Fraude bancario",103362,jul. 2016
"08-20166","08-2016","Fraude bancario",105712,ago. 2016
"09-20166","09-2016","Fraude bancario",102755,sep. 2016
"10-20166","10-2016","Fraude bancario",88212,oct. 2016
"11-20166","11-2016","Fraude bancario",146883,nov. 2016
"12-20166","12-2016","Fraude bancario",174683,dic. 2016
"01-20167","01-2016","Fraude al consumidor",99018,ene. 2016
"02-20167","02-2016","Fraude al consumidor",123613,feb. 2016
"03-20167","03-2016","Fraude al consumidor",97899,mar. 2016
"04-20167","04-2016","Fraude al consumidor",87934,abr. 2016
"05-20167","05-2016","Fraude al consumidor",104729,may. 2016
"06-20167","06-2016","Fraude al consumidor",123359,jun. 2016
"07-20167","07-2016","Fraude al consumidor",69924,jul. 2016
"08-20167","08-2016","Fraude al consumidor",93389,ago. 2016
"09-20167","09-2016","Fraude al consumidor",74432,sep. 2016
"10-20167","10-2016","Fraude al consumidor",92475,oct. 2016
"11-20167","11-2016","Fraude al consumidor",115204,nov. 2016
"12-20167","12-2016","Fraude al consumidor",149794,dic. 2016
"01-20168","01-2016","Extorsión",332162,ene. 2016
"02-20168","02-2016","Extorsión",440238,feb. 2016
"03-20168","03-2016","Extorsión",447055,mar. 2016
"04-20168","04-2016","Extorsión",333140,abr. 2016
"05-20168","05-2016","Extorsión",531049,may. 2016
"06-20168","06-2016","Extorsión",565880,jun. 2016
"07-20168","07-2016","Extorsión",406610,jul. 2016
"08-20168","08-2016","Extorsión",393053,ago. 2016
"09-20168","09-2016","Extorsión",434112,sep. 2016
"10-20168","10-2016","Extorsión",424874,oct. 2016
"11-20168","11-2016","Extorsión",645895,nov. 2016
"12-20168","12-2016","Extorsión",667331,dic. 2016
"01-20169","01-2016","Amenazas verbales",109039,ene. 2016
"02-20169","02-2016","Amenazas verbales",152902,feb. 2016
"03-20169","03-2016","Amenazas verbales",146414,mar. 2016
"04-20169","04-2016","Amenazas verbales",121861,abr. 2016
"05-20169","05-2016","Amenazas verbales",135646,may. 2016
"06-20169","06-2016","Amenazas verbales",193120,jun. 2016
"07-20169","07-2016","Amenazas verbales",122426,jul. 2016
"08-20169","08-2016","Amenazas verbales",129833,ago. 2016
"09-20169","09-2016","Amenazas verbales",155822,sep. 2016
"10-20169","10-2016","Amenazas verbales",139913,oct. 2016
"11-20169","11-2016","Amenazas verbales",236273,nov. 2016
"12-20169","12-2016","Amenazas verbales",291056,dic. 2016
"01-201610","01-2016","Lesiones físicas",50456,ene. 2016
"02-201610","02-2016","Lesiones físicas",61664,feb. 2016
"03-201610","03-2016","Lesiones físicas",66997,mar. 2016
"04-201610","04-2016","Lesiones físicas",65313,abr. 2016
"05-201610","05-2016","Lesiones físicas",72408,may. 2016
"06-201610","06-2016","Lesiones físicas",87298,jun. 2016
"07-201610","07-2016","Lesiones físicas",64709,jul. 2016
"08-201610","08-2016","Lesiones físicas",82557,ago. 2016
"09-201610","09-2016","Lesiones físicas",73399,sep. 2016
"10-201610","10-2016","Lesiones físicas",65371,oct. 2016
"11-201610","11-2016","Lesiones físicas",80200,nov. 2016
"12-201610","12-2016","Lesiones físicas",125530,dic. 2016
"01-201611","01-2016","Secuestro",5600,ene. 2016
"02-201611","02-2016","Secuestro",1931,feb. 2016
"03-201611","03-2016","Secuestro",4906,mar. 2016
"04-201611","04-2016","Secuestro",815,abr. 2016
"05-201611","05-2016","Secuestro",19134,may. 2016
"06-201611","06-2016","Secuestro",2385,jun. 2016
"07-201611","07-2016","Secuestro",1775,jul. 2016
"08-201611","08-2016","Secuestro",1096,ago. 2016
"09-201611","09-2016","Secuestro",7427,sep. 2016
"10-201611","10-2016","Secuestro",2915,oct. 2016
"11-201611","11-2016","Secuestro",2326,nov. 2016
"12-201611","12-2016","Secuestro",5832,dic. 2016
"01-201612","01-2016","Hostigamiento",19266,ene. 2016
"02-201612","02-2016","Hostigamiento",36139,feb. 2016
"03-201612","03-2016","Hostigamiento",25913,mar. 2016
"04-201612","04-2016","Hostigamiento",33801,abr. 2016
"05-201612","05-2016","Hostigamiento",35015,may. 2016
"06-201612","06-2016","Hostigamiento",26766,jun. 2016
"07-201612","07-2016","Hostigamiento",23633,jul. 2016
"08-201612","08-2016","Hostigamiento",35405,ago. 2016
"09-201612","09-2016","Hostigamiento",42041,sep. 2016
"10-201612","10-2016","Hostigamiento",57492,oct. 2016
"11-201612","11-2016","Hostigamiento",55831,nov. 2016
"12-201612","12-2016","Hostigamiento",94962,dic. 2016
"01-201613","01-2016","Violación",2017,ene. 2016
"02-201613","02-2016","Violación",1399,feb. 2016
"03-201613","03-2016","Violación",1742,mar. 2016
"04-201613","04-2016","Violación",3367,abr. 2016
"05-201613","05-2016","Violación",6044,may. 2016
"06-201613","06-2016","Violación",4944,jun. 2016
"07-201613","07-2016","Violación",1995,jul. 2016
"08-201613","08-2016","Violación",4430,ago. 2016
"09-201613","09-2016","Violación",4903,sep. 2016
"10-201613","10-2016","Violación",16641,oct. 2016
"11-201613","11-2016","Violación",2267,nov. 2016
"12-201613","12-2016","Violación",12618,dic. 2016
"01-201614","01-2016","Otros",4585,ene. 2016
"02-201614","02-2016","Otros",7216,feb. 2016
"03-201614","03-2016","Otros",2901,mar. 2016
