fecha,total,clase
nov. 2018,114776,sexuales
dic. 2018,136782,sexuales
ene. 2019,400118,extorsion_amenazas
feb. 2019,537149,extorsion_amenazas
mar. 2019,551942,extorsion_amenazas
abr. 2019,363924,extorsion_amenazas
may. 2019,433664,extorsion_amenazas
jun. 2019,576216,extorsion_amenazas
jul. 2019,417658,extorsion_amenazas
ago. 2019,419615,extorsion_amenazas
sep. 2019,454674,extorsion_amenazas
oct. 2019,456894,extorsion_amenazas
nov. 2019,596202,extorsion_amenazas
dic. 2019,631683,extorsion_amenazas
ene. 2019,247636,fraude
feb. 2019,337000,fraude
mar. 2019,352596,fraude
abr. 2019,233558,fraude
may. 2019,325322,fraude
jun. 2019,298517,fraude
jul. 2019,261944,fraude
ago. 2019,280981,fraude
sep. 2019,254941,fraude
oct. 2019,270645,fraude
nov. 2019,411127,fraude
dic. 2019,433827,fraude
ene. 2019,227865,otros
feb. 2019,266480,otros
mar. 2019,274365,otros
abr. 2019,192004,otros
may. 2019,245789,otros
jun. 2019,267529,otros
jul. 2019,195225,otros
ago. 2019,210364,otros
sep. 2019,222768,otros
oct. 2019,185867,otros
nov. 2019,293598,otros
dic. 2019,297688,otros
ene. 2019,799859,robos
feb. 2019,1017563,robos
mar. 2019,1036594,robos
abr. 2019,763147,robos
may. 2019,966371,robos
jun. 2019,996106,robos
jul. 2019,769920,robos
ago. 2019,750846,robos
sep. 2019,837773,robos
oct. 2019,911712,robos
nov. 2019,1202658,robos
dic. 2019,1231612,robos
ene. 2019,125912,sexuales
feb. 2019,153865,sexuales
mar. 2019,144299,sexuales
abr. 2019,100184,sexuales
may. 2019,117141,sexuales
jun. 2019,125397,sexuales
jul. 2019,117274,sexuales
ago. 2019,128999,sexuales
sep. 2019,119881,sexuales
oct. 2019,144040,sexuales
nov. 2019,208905,sexuales
dic. 2019,193293,sexuales
ene. 2020,493999,extorsion_amenazas
feb. 2020,600524,extorsion_amenazas
mar. 2020,602371,extorsion_amenazas
abr. 2020,427479,extorsion_amenazas
may. 2020,526237,extorsion_amenazas
jun. 2020,742854,extorsion_amenazas
jul. 2020,489413,extorsion_amenazas
ago. 2020,507615,extorsion_amenazas
sep. 2020,555286,extorsion_amenazas
oct. 2020,556361,extorsion_amenazas
nov. 2020,768553,extorsion_amenazas
dic. 2020,908929,extorsion_amenazas
ene. 2020,322774,fraude
feb. 2020,492780,fraude
mar. 2020,450784,fraude
abr. 2020,353880,fraude
may. 2020,447800,fraude
jun. 2020,424210,fraude
jul. 2020,352447,fraude
ago. 2020,324061,fraude
sep. 2020,370024,fraude
oct. 2020,492273,fraude
nov. 2020,560624,fraude
dic. 2020,652758,fraude
ene. 2020,231561,otros
feb. 2020,282510,otros
mar. 2020,241725,otros
abr. 2020,170569,otros
may. 2020,240683,otros
jun. 2020,275281,otros
jul. 2020,178275,otros
ago. 2020,186226,otros
sep. 2020,197971,otros
oct. 2020,205252,otros
nov. 2020,303928,otros
dic. 2020,329482,otros
ene. 2020,953405,robos
feb. 2020,1284997,robos
mar. 2020,1069893,robos
abr. 2020,823545,robos
may. 2020,890135,robos
jun. 2020,1054035,robos
jul. 2020,754939,robos
ago. 2020,813735,robos
sep. 2020,796192,robos
oct. 2020,969573,robos
nov. 2020,1291666,robos
dic. 2020,1353675,robos
ene. 2020,153629,sexuales
feb. 2020,223173,sexuales
mar. 2020,181693,sexuales
abr. 2020,76049,sexuales
may. 2020,75419,sexuales
jun. 2020,112465,sexuales
jul. 2020,81178,sexuales
ago. 2020,110932,sexuales
sep. 2020,110360,sexuales
oct. 2020,124566,sexuales
nov. 2020,167392,sexuales
dic. 2020,174053,sexuales
