"","total","FECHA"
"2021-06-03",2256,2021-06-03
"2021-06-04",2518,2021-06-04
"2021-06-05",2677,2021-06-05
"2021-06-06",2709,2021-06-06
"2021-06-07",3230,2021-06-07
"2021-06-08",3104,2021-06-08
"2021-06-09",2903,2021-06-09
"2021-06-10",3149,2021-06-10
"2021-06-11",2941,2021-06-11
"2021-06-12",2866,2021-06-12
"2021-06-13",2825,2021-06-13
"2021-06-14",3915,2021-06-14
"2021-06-15",3832,2021-06-15
"2021-06-16",3505,2021-06-16
"2021-06-17",3305,2021-06-17
"2021-06-18",4211,2021-06-18
"2021-06-19",3880,2021-06-19
"2021-06-20",4902,2021-06-20
"2021-06-21",4872,2021-06-21
"2021-06-22",4614,2021-06-22
"2021-06-23",4462,2021-06-23
"2021-06-24",4404,2021-06-24
"2021-06-25",5130,2021-06-25
"2021-06-26",4997,2021-06-26
"2021-06-27",5011,2021-06-27
"2021-06-28",6390,2021-06-28
"2021-06-29",5457,2021-06-29
"2021-06-30",6006,2021-06-30
"2021-07-01",7527,2021-07-01
"2021-07-02",6863,2021-07-02
"2021-07-03",7017,2021-07-03
"2021-07-04",7149,2021-07-04
"2021-07-05",10460,2021-07-05
"2021-07-06",9198,2021-07-06
"2021-07-07",9554,2021-07-07
"2021-07-08",9113,2021-07-08
"2021-07-09",10102,2021-07-09
"2021-07-10",12496,2021-07-10
"2021-07-11",9752,2021-07-11
"2021-07-12",13733,2021-07-12
"2021-07-13",12612,2021-07-13
"2021-07-14",11790,2021-07-14
"2021-07-15",13152,2021-07-15
"2021-07-16",13076,2021-07-16
"2021-07-17",13630,2021-07-17
"2021-07-18",13280,2021-07-18
"2021-07-19",18960,2021-07-19
"2021-07-20",18707,2021-07-20
"2021-07-21",14889,2021-07-21
"2021-07-22",15156,2021-07-22
"2021-07-23",16365,2021-07-23
"2021-07-24",16262,2021-07-24
"2021-07-25",17591,2021-07-25
"2021-07-26",21226,2021-07-26
"2021-07-27",19288,2021-07-27
"2021-07-28",17701,2021-07-28
"2021-07-29",16353,2021-07-29
"2021-07-30",17517,2021-07-30
"2021-07-31",16078,2021-07-31
"2021-08-01",21482,2021-08-01
"2021-08-02",21189,2021-08-02
"2021-08-03",18256,2021-08-03
"2021-08-04",16989,2021-08-04
"2021-08-05",18595,2021-08-05
"2021-08-06",18469,2021-08-06
"2021-08-07",17625,2021-08-07
"2021-08-08",18362,2021-08-08
"2021-08-09",21558,2021-08-09
"2021-08-10",21658,2021-08-10
"2021-08-11",16724,2021-08-11
"2021-08-12",16174,2021-08-12
"2021-08-13",16820,2021-08-13
"2021-08-14",16450,2021-08-14
"2021-08-15",17269,2021-08-15
"2021-08-16",19472,2021-08-16
"2021-08-17",15790,2021-08-17
"2021-08-18",15329,2021-08-18
"2021-08-19",13757,2021-08-19
"2021-08-20",17939,2021-08-20
"2021-08-21",12933,2021-08-21
"2021-08-22",12457,2021-08-22
"2021-08-23",15724,2021-08-23
"2021-08-24",12883,2021-08-24
"2021-08-25",13348,2021-08-25
"2021-08-26",11415,2021-08-26
"2021-08-27",12370,2021-08-27
"2021-08-28",12610,2021-08-28
"2021-08-29",11003,2021-08-29
"2021-08-30",13686,2021-08-30
"2021-08-31",10958,2021-08-31
"2021-09-01",13632,2021-09-01
"2021-09-02",10446,2021-09-02
"2021-09-03",10815,2021-09-03
"2021-09-04",10102,2021-09-04
"2021-09-05",9982,2021-09-05
"2021-09-06",11451,2021-09-06
"2021-09-07",9665,2021-09-07
"2021-09-08",9041,2021-09-08
"2021-09-09",8857,2021-09-09
"2021-09-10",10429,2021-09-10
"2021-09-11",7612,2021-09-11
"2021-09-12",7278,2021-09-12
"2021-09-13",8514,2021-09-13
"2021-09-14",7305,2021-09-14
"2021-09-15",8041,2021-09-15
"2021-09-16",6221,2021-09-16
"2021-09-17",8394,2021-09-17
"2021-09-18",8002,2021-09-18
"2021-09-19",7619,2021-09-19
"2021-09-20",10062,2021-09-20
"2021-09-21",6786,2021-09-21
"2021-09-22",6681,2021-09-22
"2021-09-23",5898,2021-09-23
"2021-09-24",6649,2021-09-24
"2021-09-25",6560,2021-09-25
"2021-09-26",5468,2021-09-26
"2021-09-27",6749,2021-09-27
"2021-09-28",5316,2021-09-28
"2021-09-29",4904,2021-09-29
"2021-09-30",4754,2021-09-30
"2021-10-01",6332,2021-10-01
"2021-10-02",4643,2021-10-02
"2021-10-03",4332,2021-10-03
"2021-10-04",5445,2021-10-04
"2021-10-05",4628,2021-10-05
"2021-10-06",4192,2021-10-06
"2021-10-07",3849,2021-10-07
